data_source,ticker,date_kst,open,high,low,close,volume,loaded_date_kst
source1,008060,2025-04-21,7840,8000,7840,7930,128851,2025-04-21
source1,014680,2025-04-14,110200,117300,110000,114200,87637,2025-04-15
source1,017550,2025-04-17,1812,1824,1805,1809,49823,2025-04-17
source1,036000,2025-04-16,2585,2585,2515,2520,67259,2025-04-16
source1,050960,2025-04-14,18190,18330,17400,18190,167473,2025-04-14
source1,069500,2025-04-15,33075,33445,33075,33355,8739314,2025-04-15
source1,090080,2025-04-15,1939,1998,1773,1826,12360582,2025-04-15
source1,101670,2025-04-14,1391,1470,1391,1425,417992,2025-04-14
source1,131100,2025-04-22,1491,1517,1400,1493,45651,2025-04-22
source1,136340,2025-04-22,107650,107650,107565,107595,1015,2025-04-22
source1,148020,2025-04-21,33675,33830,33535,33675,222184,2025-04-21
source1,251590,2025-04-14,12770,12850,12690,12850,1794,2025-04-14
source1,253250,2025-04-14,12875,13170,12875,13020,6655,2025-04-14
source1,264900,2025-04-18,8260,8280,8170,8280,17307,2025-04-18
source1,338840,2025-04-16,7070,7130,6770,7020,38573,2025-04-17
source1,357430,2025-04-16,1475,1478,1471,1471,14777,2025-04-16
source1,388790,2025-04-17,2360,2430,2300,2430,49265,2025-04-17
source1,389030,2025-04-22,1200,1201,1181,1200,18780,2025-04-22
source1,409820,2025-04-15,9150,9225,9140,9185,438395,2025-04-15
source1,435040,2025-04-18,15430,15760,15430,15590,936,2025-04-18
source1,474390,2025-04-15,58415,58560,58415,58560,40,2025-04-15
source1,475380,2025-04-16,10340,10340,10050,10060,4786,2025-04-16
source1,491830,2025-04-14,9200,9400,9150,9335,146267,2025-04-14
source1,900110,2025-04-22,47,48,47,47,5526226,2025-04-22
source1,178320,2025-04-18,19770,20050,19620,19910,205768,2025-04-21
source1,179290,2025-04-22,8300,8300,8060,8140,107991,2025-04-22
source1,183490,2025-04-18,1082,1213,1068,1193,662729,2025-04-18
source1,208350,2025-04-16,2655,2660,2615,2615,5156,2025-04-16
source1,240550,2025-04-18,11100,11270,10810,11190,785211,2025-04-18
source1,244460,2025-04-16,1651,1651,1651,1651,0,2025-04-16
source1,261120,2025-04-21,5385,5420,5375,5400,20059,2025-04-21
source1,278280,2025-04-21,34600,34850,33150,34100,13986,2025-04-22
source1,340930,2025-04-17,1884,1919,1833,1880,236323,2025-04-17
source1,363260,2025-04-18,1789,1789,1746,1772,251112,2025-04-18
source1,389470,2025-04-22,24300,24300,22700,24300,397244,2025-04-22
source1,391600,2025-04-16,7800,7805,7745,7765,1029,2025-04-16
source1,403550,2025-04-16,14450,14450,14260,14380,4011,2025-04-16
source1,433970,2025-04-22,12570,12575,12520,12540,20590,2025-04-22
source1,460280,2025-04-16,9060,9065,8880,8900,1261,2025-04-16
source1,472230,2025-04-18,2025,2030,2010,2010,1008,2025-04-18
source1,483030,2025-04-21,9405,9405,9000,9005,1337,2025-04-21
source1,088290,2025-04-15,1410,1410,1370,1386,72845,2025-04-15
source1,102370,2025-04-14,3375,3415,3340,3410,66899,2025-04-14
